headline,date,parsed_date,author,summary,url,page
"Επεσαν Facebook, Messenger και Instagram στην Ελλάδα - Προβλήματα για χιλιάδες χρήστες",,,,"Εκτεταμένα προβλήματα λειτουργίας παρουσιάζουν τελευταίο διάστημα οι δημοφιλείς πλατφόρμες κοινωνικής δικτύωσης Facebook, Messenger και Instagram",https://www.tovima.gr/2026/06/12/society/epesan-facebook-messenger-kai-instagram-stin-ellada-provlimata-gia-xiliades-xristes/,3
Φίλιπ Ρόγκ: «Η εμπιστοσύνη και η λογοδοσία παίζουν κεντρικό ρόλο στην εφαρμογή της τεχνητής νοημοσύνη»,,,Δημήτρης Ελαφρόπουλος,"Ο επικεφαλής Παγκόσμιου Δημόσιου Τομέα και Ψηφιακής Κυριαρχίας της Microsoft μιλάει για την επόμενη φάση της τεχνητή νοημοσύνης, την «παγαγωγή αξίας» από την ενσωμάτωση της τεχνολογίας και τις ευκαιρίες από την κατάρτιση και την ανάπτυξη δεξιοτήτων.",https://www.tovima.gr/2026/06/06/texnologia/filip-rogk-i-empistosyni-kai-i-logodosia-paizoun-kentriko-rolo-stin-efarmogi-tis-texnitis-noimosyni/,3
Το τέλος του smartphone πλησιάζει - Τι νέο ετοιμάζεται στη Silicon Valley,,,Ντιάνα Καρτσαγκούλη,"Είναι τα smartphones καταδικασμένα να εξαφανιστούν; Με ποιον τρόπο η Τεχνητή Νοημοσύνη, τα έξυπνα γυαλιά και οι AI Agents θα αλλάξουν για πάντα την καθημερινότητά μας.",https://www.tovima.gr/2026/06/04/texnologia/to-telos-ton-smartphones-pos-i-texniti-noimosyni-eksafanizei-ta-kinita-mas/,3
"Ούλι Χόμαν: «Η Τεχνητή Νοημοσύνη μάς κάνει ταχύτερους, όχι απαραίτητα πιο ελεύθερους»",,,Γιώργος Πολυμενέας,"Ο αντιπρόεδρος Cloud & AI της Microsoft, Ούλι Χόμαν, μιλά στο ΒΗΜΑ για τις παρανοήσεις γύρω από την Τεχνητή Νοημοσύνη, την επίδρασή της στην εργασία, τις ηθικές προκλήσεις, την κβαντική υπολογιστική και τις δεξιότητες του μέλλοντος.",https://www.tovima.gr/2026/06/03/texnologia/ouli-xoman-i-texniti-noimosyni-mas-kanei-taxyterous-oxi-aparaitita-pio-eleytherous/,3
Panathēnea 2026: Η Αθήνα στο επίκεντρο της συζήτησης για την καινοτομία,,,Δημήτρης Ελαφρόπουλος,"Με περισσότερες από 11.500 συμμετοχές, παρουσία από 60 χώρες, 3.000 startuppers και δεκάδες panels για την τεχνητή νοημοσύνη, τις startups, τις επενδύσεις και τον πολιτισμό, τα Panathēnea 2026 επιχείρησαν να μετατρέψουν την Αθήνα σε διεθνές σημείο συνάντησης για την καινοτομία.",https://www.tovima.gr/2026/06/02/texnologia/panathenea-2026-i-athina-sto-epikentro-tis-syzitisis-gia-tin-kainotomia/,3
Ροντρίνγκο ντα Κόστα: «Οι διαστημικές υποδομές της ΕE αποδίδουν πλήρως μόνο όταν αξιοποιούνται σε μεγάλη κλίμακα»,,,Μάνος Καραταράκης,"Ο εκτελεστικός διευθυντής του Οργανισμού της Ευρωπαϊκής Ένωσης για το Διαστημικό Πρόγραμμα αναπτύσσει τα οφέλη, για κράτη και πολίτες, από τις υπηρεσίες του Galileo και του Copenicus",https://www.tovima.gr/2026/05/31/texnologia/rontringko-nta-kosta-oi-diastimikes-ypodomes-tis-ee-apodidoun-pliros-mono-otan-aksiopoiountai-se-megali-klimaka/,3
Οδηγός AI για όλους: Πώς η Τεχνητή Νοημοσύνη μπαίνει στην καθημερινότητα των πολιτών,,,,"Δωρεάν διαθέσιμος είναι πλέον ο νέος Οδηγός «Τεχνητή Νοημοσύνη για Όλους» με στόχο να εξοικειώσει τους πολίτες με τα εργαλεία AI και τις πρακτικές εφαρμογές τους στην εργασία, τη μάθηση και την καθημερινότητα.",https://www.tovima.gr/2026/05/28/society/odigos-ai-gia-olous-apo-to-ypourgeio-psifiakis-diakyvernisis-pos-i-texniti-noimosyni-mpainei-stin-kathimerinotita-ton-politon/,3
Η σκοτεινή ιστορία πίσω από την εφεύρεση του τηλεφώνου: Κλοπή σχεδίων ή ιστορική παρεξήγηση;,,,Ντιάνα Καρτσαγκούλη,Η αλήθεια για την εφεύρεση του τηλεφώνου. Οι άγνωστοι πρόδρομοι του Γκράχαμ Μπελ και το παρασκήνιο του σκληρού ανταγωνισμού για την παγκόσμια πρωτιά.,https://www.tovima.gr/2026/05/28/texnologia/o-polemos-tou-tilefonou-osoi-oramatistikan-to-tilefono-prin-ton-gkraxam-mpel/,3
"Η Google αντεπιτίθεται και φέρνει το Gemini παντού: Search, Gmail, shopping, video και smart glasses",,,,"Με τη βοήθεια του νέου μοντέλου τεχνητής νοημοσύνης Gemini, η Google προχωρά σε ριζική ανανέωση της μηχανής αναζήτησής της: μεγαλώνει το search box, ώστε να υποστηρίζει πιο σύνθετα ερωτήματα, προσθέτει εργαλεία δημιουργίας βίντεο και απλοποιεί τις online αγορές",https://www.tovima.gr/2026/05/27/texnologia/google-allazei-to-search-box-gia-proti-fora-meta-apo-25-xronia/,3
Η Ελλάδα επενδύει στη διπλωματία της επιστήμης και της καινοτομίας,,,Δημήτρης Ελαφρόπουλος,"Η διπλωματία της επιστήμης, της τεχνολογίας και της καινοτομίας βρέθηκε στο επίκεντρο ημερίδας, την οποία διοργάνωσε η Γενική Γραμματεία Απόδημου Ελληνισμού και Δημόσιας Διπλωματίας σε συνεργασία με το Georgia Institute of Technology.",https://www.tovima.gr/2026/05/25/texnologia/i-ellada-ependyei-sti-diplomatia-tis-epistimis-kai-tis-kainotomias/,3
